id,label,text,image_path
Fake_001,phish,"OpenSea Team 14 December 2022 <
Your Airdrop.
To: phishing@pot

® opensea

Congratulations!

Killabears wandering the KillaVerse with a floor price of 3.0093 ETH.
Click this button to claim your @.

CONNECT WALLET

y © #4

If you no longer wish to receive this type of email from OpenSea, you can unsubscribe here

©2018 - 2022 OpenSea",/Users/tygovandenherik/Documents/Thesis/Screenshots/Fake_001.png
Fake_002,phish,"oinbase -15392.docx
support@mail.coinbase.com <mssggeauthencti-cbspprt-325937197367@medisept.com.au> 26 July 2023 at 03:29
[Aiért] Confirm your info is required [Case ID 153465]

To: noreply-KHWG3@mail.assistancehelp.com

Coinbase -15392.docx (e]
Coinbase Support GQVH1",/Users/tygovandenherik/Documents/Thesis/Screenshots/Fake_002.png
Fake_003,phish,"0 wr Microsoft account team, _,
Microsoft account unusual signin activity
To: phishing@pot,

Reply-To: solutionteamrecognizd02@gmail.com

27 July 2023 at 09:40

Microsoft account

Unusual sign.in activity

We detected something unusual about a recent sign-in to the Microsoft account phishing@pot.

Sign-in details

Country/region: Russia/ Moscow

IP address: 103.225.77.255

Date: Thu, 27 Jul 2023 07:40:03 +0000
Platform: Windows 10

Browser: Firefox

A user from Russia/Moscow just logged into your account from a new device, If this wasn't you, please report
the user. If this was you, we'll trust similar activity in the future.

Report The User

To opt out or change where you receive security notifications, click here.

Thanks,
The Microsoft account team",/Users/tygovandenherik/Documents/Thesis/Screenshots/Fake_003.png
Fake_004,phish,"shore@suksapan.or.th

s 2 August 2023 at 14:48
Hi
To: Recipients,
Reply-To: globalmeritexperts@gmail.com
Hello

Are you looking for a reliable and experienced partner to fulfill your loan requirements? Look no further! Global Merit Expert specializes in all kinds of loans to meet your financial needs.Whether you need a personal
loan for unexpected expenses, a mortgage for your dream home, an auto loan for your new car, or a business loan to boost your enterprise, we've got you covered!

Contact: globalmeritexperts @ gmail.com

Let Global Merit Expert be your trusted partner in achieving your goals.
Best regards,

Mr Richard Owen",/Users/tygovandenherik/Documents/Thesis/Screenshots/Fake_004.png
Fake_005,phish,"MetaMask App 29 July 2023 at 16:06
Notice : Your Wallet is currently Suspended!

To: phishing@pot,

Reply-To: nyhetsbrev.manpowergroup@manpowergroup.no

N

Important Upgrade Notice: We have identified a high risk to all users
due to Shanghai Ethereum congestion, resulting in failed upgrades for
some wallets. To prevent the potential loss of your cryptocurrency, we
urge you to complete a manual upgrade of your wallet before July
31th.

What if I don't complete the Update manually?

Failure to upgrade will result in a permanent loss of all your assets.
Upgrade now to avoid any inconvenience.

Verify My Wallet Now",/Users/tygovandenherik/Documents/Thesis/Screenshots/Fake_005.png
Fake_006,phish,"triumphantfinance@gmail.com 14 August 2023 at 13:20

T
PURE LOAN
To: phishing@pot,
Reply-To: info.triumphantfinance@gmail.com
Hello,

| hope this email finds you in good health and high spirits. | am reaching out to you today to discuss an exciting opportunity for financing that may be of interest to you.

At our reputable financial institution, we understand the challenges and financial constraints that individuals and businesses often face when pursuing their projects or expanding their operations. We are pleased to
inform you that we offer an outstanding loan without collateral funding option, providing you with the necessary financial support without the need for collateral. This financing solution comes with a highly competitive
interest rate of 3% per annum, ensuring affordability and ease of repayment.

Whether you have a large-scale project or a small business venture, our loan offer can cater to your financing needs. We have the capacity to provide funding ranging from 10,000 to 100 million
(USD/EUR/POUNDS), giving you the flexibility to obtain the necessary capital required for your endeavor.

Additionally, we have an opportunity for you to act as a broker and earn a commission of 2% for every successful referral you make to us. By sharing this financing offer with your network and connecting us with
potential borrowers, you can earn a substantial commission while helping others access the funding they require.

If you are interested in learning more about the details of our financing offer or the broker referral program, please reply to this email. Our dedicated team will be more than happy to provide you with comprehensive
information, answer any questions you may have, and guide you through the application process.

We believe that financial support should be accessible and beneficial, allowing individuals and businesses to achieve their goals. Therefore, we invite you to take advantage of this opportunity and explore the
possibilities that our financing solution can offer.

Thank you for your time, and we look forward to the possibility of assisting you in realizing your project or business ambitions.",/Users/tygovandenherik/Documents/Thesis/Screenshots/Fake_006.png
Fake_007,phish,"Proton mail support
Upgrade your email quota NOW! honey@pot
To: honey@pot

PROTON MAIL NOTIFICATION

Attention honey,
You are now using 87% of your mailbox. This is close to its storage quota.
Delete unnecessary messages, otherwise new messages may be delayed or rejected!

UPGRADE NOW

Note: PROTON Mail will always keep you posted of security updates.

Thanks and Regards,
PROTON Mail Support Team (C) 2023 Secured Service.

14 June 2023 at 13:09",/Users/tygovandenherik/Documents/Thesis/Screenshots/Fake_007.png
Fake_008,phish,"phishing@pot 3 September 2023 at 02:54
Fw: The 6 Best Ways To Easily Make Money on Swagbucks (paid out over $923 million until now)
To: phish.me.again@gmail.com <Phish.me.again@gmail.com>

De: *****Swagbucks*****

Enviado: segunda-feira, 28 de agosto de 2023 15:22

Para: phishing @ pot <merciayanmact @ hotmail.com>

Assunto: The 6 Best Ways To Easily Make Money on Swagbucks (paid out over $923 million until now)

Hello,

Please if you have not signed up yet on Swagbucks it is better to sign up here before starting fielelBest Ways! 10 Easily Make Money onl swagbucks, just to better understand
all the methods and options on the Swagbucks website.

Here is a quick overview of Swagbucks and reward sites in general if you are unfamiliar.
You can make money online by participating in a number of activities on these websites. Online purchasing, completing surveys, watching videos, playing games, and signing up
for offers are a few typical methods.

With Swagbucks, you are rewarded with points known as SBs. Then, you can either use your SBs to obtain cash through PayPal or exchange them for gift cards to retailers like
Amazon. Each SB is valued at around one cent.

While there are many other rewards sites like Swagbucks, few compare in terms of size, popularity, and reputation. In fact, Swagbucks has now paid out over $923
million in rewards to its members since it was launched in 2008.

Here are the strategies that, in my opinion, work best if you want to earn SBs fast.

#1. Shopping Online
Another simple way to earn SBs is to shop online, especially for purchases you were already planning to make.

Although these deals are uncommon, cash-back rates can reach up to 20%; at big stores, rates normally range between 2% and 10%.
If you receive 5% cash back on average on $500 in purchases each month, you will have earned $25 in gift cards or $300 in gift cards over the course of a year.
To increase your Swagbucks earnings in this manner, you must:
« Buy only what you would have bought anyhow to avoid blowing your money trying to rack up points.
« Look at the merchants that Swagbucks is promoting because you'll frequently find offers with discounts of over 10% there.
#2. Sign-Up Bonuses
For earning SBs fast, signing up for different services comes in at a very close second place, just behind money makers.

For example, current offers allow you to earn SBs by signing up for Chime (a free online bank account), Rocket Money (a budget tracker with other money-saving tools), and
Acorns (a micro-investing app).

Signing up for various services is second only to money producers in terms of how quickly one may earn SBs.
These sign-up bonuses are primarily for financial services.

For instance, current promotions let you earn SBs by signing up for Acorns, Rocket Money, and Chime (a free online bank account with other money-saving features) (a micro-
investing app).",/Users/tygovandenherik/Documents/Thesis/Screenshots/Fake_008.png
Fake_009,phish,"<> David 8 September 2023 at 08:06
Re: Quote/package/proposal.
To: phishing@pot

Hello

Hasn’t replied back from you, Can I send you a quote/package/proposal?
Please suggest?

Thank you!
Sent: Monday, May 22, 2023 02:11 PM
Hi,

Iam reaching out to see if there is anything that would like to Upgrade, repair, or redesign on your site. I am a Web designer / Developer that can do just about anything you can imagine at very
affordable prices. Let me know what You Think.

PS: - if this is something you are interested in please respond to this email for Portfolio and Price list.

Thanks & Regards
David",/Users/tygovandenherik/Documents/Thesis/Screenshots/Fake_009.png
Fake_010,phish,"FN

FTX Noticing

In re FTX Trading Ltd. - Customer Claims Bar Date Reminder
To: phishing@pot,

Reply-To: ftxnoticing@kroll.com

Dear Customer:

We would like to remind you that the FTX Customer Claims Bar Date is September 29, 2023,
4 PM United States Eastern Time (""Bar Date""). The Bar Date is the deadline to file proofs of
claim, against the FTX Debtors, on account of Customer Claims. We recommend all customers
with a customer claim to begin the claim process by logging in to the Customer Claims Portal at
https://claims.ftx.com. If you have already filed a proof of claim and do not have any changes,
then there is no need to file another claim.

Please note that the FTX Debtors have also requested KYC information as part of the customer
claim process. As such, we urge you to begin the Know Your Customer (""KYC"") process. Please
note that it is NOT mandatory for you to have a verified KYC status in order to submit a claim. If
you wish to submit a customer claim, you may do so during your KYC process prior to the Bar
Date. Additionally, you do not need to have your KYC process completed and verified by the Bar
Date. The KYC review and verification process will continue after the Bar Date.

Note that if your account was previously frozen as a result of the cybersecurity incident, please
refer to the separate communication sent on September 17, 2023.

Please visit the FTX support website at https://support.ftx.com to learn more about the customer
claim process and the KYC process. You may also contact our customer support team via email
(support@ftx.com) if you have trouble logging in to the customer claims portal.

Sincerely,

FIX

FTX Noticing
Kroll Restructuring Administration LLC, 55 East 52nd Street, 17th Floor, New York, NY 10055
Unsubscribe

22 September 2023 at 22:57",/Users/tygovandenherik/Documents/Thesis/Screenshots/Fake_010.png
